apogeeAltitude,apogeeX,apogeeY,impactX,impactY,impactVelocity
38365.7322149757,2944.111545356417,-11418.143349023465,-3626.0754389337662,-17176.69102009031,-14.865876704852736
35989.04362184356,627.4951864794538,-9862.48349001415,-4978.294966401798,-14157.95043293853,-14.85023553829678
37885.18101631455,7630.110890846031,-13454.921983009452,1492.6927215553546,-17870.92948227755,-14.869509850052893
43300.546397608676,7121.697091363531,-10396.732721954924,-177.02394037003083,-14716.43800854563,-14.845388014644856
42777.81395915834,614.6377012349341,-12837.188935548837,-6369.170559077167,-17485.293069651423,-14.850273641078402
34463.94920536029,3358.8393657941374,-7624.285216306278,-2966.201435636291,-11559.874605440406,-14.8600701679134
30458.76666825728,558.5046128648883,-10845.382761888004,-4067.649692711631,-14820.471291434007,-14.850218060826824
28656.030746054166,3318.0080619300297,-13205.905053799583,-1802.4354867234156,-17215.51069853559,-14.883719458052505
38393.34675700205,3550.438382408968,-10883.68954603104,-3113.001358087639,-15027.80049614095,-14.88369687983143
38801.63466864081,2539.0838322221325,4638.766861584192,-4381.954843861173,2671.6116485755583,-14.856410528642693
39075.80741226748,2972.6504330101675,-16595.0189617289,-3167.3303328157585,-21210.64846666005,-14.83106918922563
34398.4923751519,2123.5294068139797,-16435.014348136276,-3185.894538348048,-21136.20039345252,-14.83104896128637
41534.232003556535,3404.019814280131,-10414.462504006919,-3871.114459982697,-14347.802802579547,-14.883722730081429
38513.646372613446,4245.575013236041,-9159.556495292682,-1844.014898054233,-13387.97504244967,-14.84494497198461
33151.59909076688,6056.047891051312,-17465.96037308088,1935.3917632452444,-22577.627469557567,-14.871151413573532
34412.48837576826,589.860522295028,-9740.31479597308,-4714.935576671576,-14003.017405279414,-14.850278160432177
40062.85991938748,7308.172641347439,-12841.973646824126,718.7794775798371,-17506.20789682416,-14.845399607143555
37513.90091690607,8147.760651285075,-17269.15222534984,2134.7831134160574,-22448.357669796726,-14.845305326960961
35129.50175205401,8435.231956672153,-15170.816137232012,3085.6474850138165,-20161.789369647173,-14.845370651827317
37334.494355137285,6474.969989898101,-9703.794407601594,397.0802664999228,-13670.461528815416,-14.869508204355643
33353.14026091679,784.9974888390406,-14846.510031435371,-4360.828098880509,-19762.76001003325,-14.85026457797627
33955.17910623607,2624.708255239806,-18406.784945269334,-2554.2314287411764,-23290.14921128984,-14.831048340126507
32586.53360577734,3622.1068096007793,-19068.468002419864,-1152.7673741589438,-23996.973723925392,-14.831016933412789
31204.61948603171,9102.633019899265,-14808.613384919727,4524.006063993409,-19450.057892709414,-14.845404250403883
33701.166856474774,2605.105699607797,-12243.45113006525,-2406.020212107155,-16452.902495760634,-14.831003081143608
34912.092242693456,5212.092878777227,-10203.73145661859,816.3676286220373,-14458.54711397607,-14.871157811215449
39518.7404202198,7945.778759585472,-7053.680968562723,1695.5859402343376,-10545.31527575861,-14.86952949582469
29929.589634901607,4383.6757097932505,-13633.169695265495,548.4649468858885,-17788.209058616445,-14.87115856472797
39560.87837901939,1867.5544229540135,2060.519033738904,-5289.199426845555,-386.04780405073416,-14.856476952137523
30553.760868027202,3156.1859606015087,-9135.415963742744,-2238.2636218181933,-12993.339668918374,-14.883716191808574
30194.196282088673,4380.026340941975,-16176.901768236436,455.104225454378,-20598.335946807652,-14.871156619432128
42036.76548771428,3101.498119989652,-11140.94150558513,-4332.581985944984,-15156.123602469272,-14.883695796199698
28391.975074410264,3873.915000519741,-22317.934118720143,-1061.6530758324686,-28148.72994647252,-14.865888406047299
36833.56166107754,5403.034679543142,-19417.015987681716,401.78630266126413,-24676.78936335905,-14.871152624115457
36655.90040090221,9368.768551283496,-22350.215038867325,3578.3406471219473,-28029.382989681246,-14.845404697160557
42281.93008990496,92.21269155646499,-7317.492613996167,-6807.664902434741,-11217.297704245184,-14.850243033055973
43229.97272413196,383.9978912766574,-18198.277369709398,-6790.7648090108805,-23426.33419626583,-14.85023843832597
32468.07249544334,4700.6211640318925,-8521.878021863904,-54.12754500063169,-12685.7833227304,-14.844939759066468
39412.775554454434,7906.378613220298,-17336.350795594393,1418.3358650945243,-22499.023977600835,-14.845349886836571
31450.098793861285,5886.810046090117,-11426.623401381288,975.4722638471534,-15818.91870407544,-14.845386203941977
24411.574767388025,4282.334204382845,-17201.99855845512,410.38386087067835,-22383.207932205325,-14.86589707488095
45422.27165864876,4753.79203468331,-14612.355322184692,-3696.6427969756746,-19347.197462582375,-14.860058585826414
33806.5961599315,3765.094093953035,-11693.813652545103,-687.6596365855778,-16179.685947158714,-14.871150082079238
31171.653805517544,10855.329267615793,-21768.22372673299,6100.347503688281,-26737.466961842358,-14.869516857777244
