apogeeAltitude,apogeeX,apogeeY,impactX,impactY,impactVelocity,deploymentWind
33053.80771318932,5964.085955588146,-14565.944908774365,2699.789461593639,-19470.589868362767,-20.424735450592234,192.66839150768604
42570.03401181962,1396.0989147398561,3261.4646711794194,-4047.305984873343,2119.481935584488,-20.32067340284053,40.649533330552266
39945.70218780318,2816.707004693209,-7762.134507622676,-2114.9205221239768,-11587.884147606135,-20.572743207170642,92.65127533306311
26152.49555154494,6561.467717360429,-17115.858205336852,4830.263668770062,-20893.824885688464,-20.499811049851573,256.2471133295098
38365.73235493844,2944.1165729690247,-11418.15769701178,-1331.2603089294678,-16982.64264851792,-20.57286118450807,136.81699312989764
35989.043622716104,627.4952794878418,-9862.483943214731,-3258.7787043754383,-14201.35142407537,-20.48734305011886,117.42072467106742
37885.18101646881,7630.111902154545,-13454.923408349185,4138.774779394792,-18183.949470436695,-20.521736718116134,178.9304604121605
43300.54640521171,7121.6985961143355,-10396.734496987408,2875.3781283396374,-14733.05944538119,-20.735084868031787,136.35246146438703
42777.8139830264,614.6383487518323,-12837.193638590634,-4163.846854460472,-17748.102421479583,-20.893003649807994,140.014101220473
34463.9492064811,3358.839601566159,-7624.285602382616,-677.0313241652275,-11410.517257971738,-20.598936093090263,101.37138968749557
30458.766677075033,558.5050346773909,-10845.38549737919,-2720.611469793577,-14745.820583690638,-20.411725800436475,142.08800267244575
28656.02114034804,3318.0109013775887,-13205.913820307638,-181.85200715894968,-17078.00237858216,-20.320616118065203,182.5818535861707
38393.346781096705,3550.4402045855,-10883.693876645953,-678.2899098193734,-15227.496646634689,-20.715881039738147,131.64322653237767
38801.6346686408,2539.083832224037,4638.766861586773,-2042.9359040716045,3829.643098120243,-20.377925861302007,61.412497301017005
39075.80741207318,2972.650490799286,-16595.01907698031,-1086.852821534798,-21798.361497306538,-20.39532702824316,192.0205909979939
34398.49239005106,2123.530834503859,-16435.021251785492,-1402.791716458952,-21669.807287456646,-20.606800890956713,201.34744928956437
41534.23200353967,3404.0198271220206,-10414.462522414318,-1337.869379224988,-14523.848545138699,-20.544091033380003,120.42399899984548
38513.64637260139,4245.575026058139,-9159.556508711641,510.59277407745384,-13349.970956059075,-20.60841471872614,115.47819935921265
33151.59075708836,6056.050427788301,-17465.96642382892,3704.231378472854,-22967.0297860918,-20.39861756452168,230.37422493234038
34412.48852503998,589.862384071237,-9740.32530849723,-3121.2340239296777,-14003.059859869527,-20.36008390935997,117.89303067067166
40062.859919226554,7308.172733935408,-12841.97374310172,3423.972023265144,-17677.638941624544,-20.3690910729837,165.83923826002396
37513.90069813022,8147.760672126156,-17269.15224453686,4726.309111603495,-22881.84942055978,-20.447354081294705,221.59584358437613
35129.50175997285,8435.235167160527,-15170.82096578147,5558.579709222579,-20453.795864965727,-20.493380293348878,211.37161290236855
37334.49435566223,6474.970469104535,-9703.794972885093,2953.461971724711,-13733.184721110314,-20.54491999015059,134.39853572407975
